supplier_id,supplier_name,event_date,expected_delivery,actual_delivery,delay_days,quantity_delivered,material_category
SUP0002,"Santos, Gardner and Robinson",2025-06-19,2025-05-08,2025-06-19,0,100,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-04-02,2025-02-22,2025-04-02,0,96,Weaving
SUP0002,"Santos, Gardner and Robinson",2024-11-11,2024-09-28,2024-11-11,0,95,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-05-12,2025-03-14,2025-05-12,0,90,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-02-05,2025-01-05,2025-02-05,0,87,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-11-06,2025-10-07,2025-11-06,0,98,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-02-01,2024-12-24,2025-02-01,0,90,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-08-12,2025-07-01,2025-08-12,0,87,Weaving
SUP0002,"Santos, Gardner and Robinson",2024-11-09,2024-09-23,2024-11-09,0,90,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-07-15,2025-05-22,2025-08-08,24,100,Weaving
SUP0002,"Santos, Gardner and Robinson",2024-11-18,2024-10-05,2024-11-18,0,91,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-10-13,2025-09-09,2025-10-13,0,95,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-09-28,2025-07-31,2025-10-19,21,81,Weaving
SUP0002,"Santos, Gardner and Robinson",2024-10-15,2024-09-14,2024-10-18,3,81,Weaving
SUP0002,"Santos, Gardner and Robinson",2026-03-29,2026-02-14,2026-03-29,0,100,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-08-11,2025-07-10,2025-08-11,0,80,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-08-24,2025-07-09,2025-08-24,0,81,Weaving
SUP0002,"Santos, Gardner and Robinson",2024-11-26,2024-10-06,2024-11-26,0,80,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-02-07,2025-01-08,2025-02-07,0,88,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-06-15,2025-05-16,2025-06-15,0,93,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-10-03,2025-08-31,2025-10-20,17,84,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-08-01,2025-06-26,2025-08-01,0,88,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-04-07,2025-02-28,2025-04-10,3,91,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-02-13,2024-12-31,2025-02-13,0,87,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-06-01,2025-04-11,2025-06-04,3,100,Weaving
SUP0002,"Santos, Gardner and Robinson",2026-03-03,2026-01-30,2026-03-03,0,92,Weaving
SUP0002,"Santos, Gardner and Robinson",2024-12-03,2024-11-02,2024-12-03,0,85,Weaving
SUP0002,"Santos, Gardner and Robinson",2026-01-10,2025-11-26,2026-01-31,21,90,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-12-28,2025-10-31,2025-12-28,0,81,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-08-12,2025-07-07,2025-09-04,23,98,Weaving
SUP0002,"Santos, Gardner and Robinson",2024-12-04,2024-10-27,2024-12-04,0,82,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-06-21,2025-04-24,2025-06-21,0,81,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-10-03,2025-08-05,2025-10-04,1,86,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-11-08,2025-09-15,2025-12-05,27,92,Weaving
SUP0002,"Santos, Gardner and Robinson",2026-01-16,2025-12-08,2026-01-16,0,87,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-03-02,2025-01-10,2025-03-13,11,92,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-11-12,2025-09-18,2025-12-06,24,82,Weaving
SUP0002,"Santos, Gardner and Robinson",2024-11-08,2024-09-16,2024-11-10,2,83,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-01-12,2024-12-06,2025-01-23,11,99,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-02-22,2024-12-30,2025-02-22,0,100,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-06-29,2025-05-05,2025-07-15,16,87,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-04-05,2025-02-17,2025-04-19,14,85,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-03-11,2025-02-07,2025-03-21,10,87,Weaving
SUP0003,"Martinez, Nielsen and Miller",2026-01-19,2025-12-18,2026-01-19,0,92,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-10-29,2025-09-06,2025-10-29,0,91,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-12-16,2025-11-14,2025-12-16,0,89,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-01-04,2024-11-24,2025-01-08,4,84,Finishing
SUP0003,"Martinez, Nielsen and Miller",2026-01-05,2025-12-01,2026-01-05,0,97,Finishing
SUP0003,"Martinez, Nielsen and Miller",2024-10-27,2024-09-14,2024-10-27,0,82,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-04-07,2025-02-19,2025-04-07,0,99,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-05-07,2025-03-11,2025-05-07,0,89,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-02-05,2024-12-25,2025-03-01,24,97,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-07-30,2025-06-12,2025-07-30,0,92,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-10-13,2025-09-09,2025-10-13,0,88,Finishing
SUP0003,"Martinez, Nielsen and Miller",2024-11-16,2024-10-13,2024-11-16,0,93,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-06-26,2025-05-14,2025-06-26,0,82,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-03-31,2025-02-21,2025-04-24,24,100,Finishing
SUP0003,"Martinez, Nielsen and Miller",2024-11-13,2024-09-25,2024-11-13,0,94,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-12-16,2025-11-12,2025-12-16,0,92,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-04-29,2025-03-04,2025-04-29,0,90,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-01-09,2024-11-30,2025-01-09,0,100,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-11-16,2025-10-08,2025-11-16,0,86,Finishing
SUP0003,"Martinez, Nielsen and Miller",2024-11-30,2024-10-21,2024-11-30,0,92,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-05-13,2025-04-04,2025-05-13,0,100,Finishing
SUP0003,"Martinez, Nielsen and Miller",2024-11-18,2024-09-19,2024-11-18,0,87,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-05-06,2025-03-25,2025-05-06,0,92,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-03-27,2025-02-22,2025-04-03,7,98,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-10-02,2025-08-12,2025-10-03,1,94,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-09-02,2025-07-20,2025-09-29,27,82,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-02-10,2024-12-21,2025-02-10,0,100,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-05-29,2025-04-22,2025-05-29,0,84,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-01-26,2024-12-02,2025-01-26,0,94,Finishing
SUP0003,"Martinez, Nielsen and Miller",2024-11-30,2024-10-13,2024-11-30,0,96,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-01-31,2024-12-15,2025-01-31,0,91,Finishing
SUP0003,"Martinez, Nielsen and Miller",2026-01-07,2025-12-05,2026-01-29,22,91,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-10-16,2025-08-27,2025-10-16,0,98,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-02-19,2024-12-21,2025-03-17,26,93,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-12-17,2025-11-17,2025-12-17,0,87,Finishing
SUP0003,"Martinez, Nielsen and Miller",2024-10-29,2024-09-06,2024-10-29,0,98,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-08-21,2025-07-08,2025-08-21,0,94,Finishing
SUP0003,"Martinez, Nielsen and Miller",2024-11-08,2024-10-05,2024-11-08,0,80,Finishing
SUP0003,"Martinez, Nielsen and Miller",2024-11-26,2024-10-24,2024-11-26,0,82,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-12-07,2025-10-12,2025-12-12,5,91,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-05-20,2025-04-10,2025-05-20,0,86,Finishing
SUP0003,"Martinez, Nielsen and Miller",2024-10-18,2024-09-03,2024-10-18,0,83,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-01-11,2024-11-19,2025-01-11,0,90,Finishing
SUP0003,"Martinez, Nielsen and Miller",2026-01-26,2025-12-18,2026-01-26,0,83,Finishing
SUP0003,"Martinez, Nielsen and Miller",2026-03-12,2026-01-14,2026-03-12,0,83,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-10-18,2025-08-20,2025-10-26,8,96,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-10-08,2025-08-22,2025-10-08,0,97,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-01-23,2024-11-24,2025-01-23,0,92,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-09-28,2025-08-24,2025-09-28,0,93,Finishing
SUP0003,"Martinez, Nielsen and Miller",2025-02-23,2025-01-24,2025-02-23,0,86,Finishing
SUP0004,"Flowers, Martin and Kelly",2025-01-20,2024-12-09,2025-01-20,0,86,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-09-06,2025-07-30,2025-10-02,26,82,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-12-21,2025-10-27,2025-12-27,6,91,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-05-06,2025-03-31,2025-05-06,0,88,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2024-11-19,2024-10-04,2024-11-30,11,99,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-03-03,2025-01-13,2025-03-03,0,83,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-04-13,2025-03-03,2025-05-03,20,85,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-06-04,2025-04-06,2025-06-04,0,82,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-11-18,2025-10-09,2025-11-18,0,89,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-12-06,2025-11-01,2025-12-06,0,84,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2024-10-28,2024-09-16,2024-10-28,0,84,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-03-08,2025-01-24,2025-03-08,0,100,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-10-09,2025-08-23,2025-10-09,0,89,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-11-12,2025-10-08,2025-11-12,0,94,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2026-02-09,2025-12-14,2026-02-09,0,80,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2024-11-24,2024-10-21,2024-11-24,0,92,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2024-11-03,2024-09-14,2024-11-03,0,95,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-02-03,2024-12-13,2025-02-19,16,85,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2026-01-10,2025-11-23,2026-01-10,0,87,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-06-09,2025-05-09,2025-06-09,0,97,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-06-13,2025-05-09,2025-07-02,19,95,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2024-10-28,2024-09-25,2024-10-28,0,88,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-03-25,2025-02-06,2025-03-27,2,94,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-08-24,2025-07-12,2025-08-24,0,100,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-07-25,2025-06-16,2025-07-27,2,94,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-07-09,2025-05-29,2025-07-12,3,94,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-12-05,2025-10-12,2025-12-12,7,98,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-04-10,2025-02-12,2025-04-10,0,100,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-01-21,2024-12-17,2025-01-21,0,86,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-09-05,2025-07-12,2025-09-05,0,91,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-06-21,2025-05-03,2025-06-21,0,90,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-06-09,2025-05-01,2025-06-09,0,96,Raw Materials
SUP0004,"Flowers, Martin and Kelly",2025-12-28,2025-11-24,2026-01-23,26,93,Raw Materials
SUP0005,Underwood LLC,2025-06-25,2025-04-29,2025-06-25,0,84,Finishing
SUP0005,Underwood LLC,2025-07-23,2025-06-19,2025-07-23,0,87,Finishing
SUP0005,Underwood LLC,2025-02-26,2025-01-12,2025-02-26,0,100,Finishing
SUP0005,Underwood LLC,2025-07-03,2025-05-14,2025-07-03,0,94,Finishing
SUP0005,Underwood LLC,2026-01-17,2025-11-28,2026-02-11,25,82,Finishing
SUP0005,Underwood LLC,2025-02-16,2025-01-01,2025-02-16,0,91,Finishing
SUP0005,Underwood LLC,2024-12-25,2024-10-26,2024-12-25,0,98,Finishing
SUP0005,Underwood LLC,2026-04-02,2026-02-04,2026-04-26,24,82,Finishing
SUP0006,"Ross, Robinson and Bright",2025-04-03,2025-02-05,2025-04-03,0,97,Finishing
SUP0006,"Ross, Robinson and Bright",2025-02-21,2025-01-16,2025-03-20,27,86,Finishing
SUP0006,"Ross, Robinson and Bright",2024-11-14,2024-10-07,2024-11-14,0,89,Finishing
SUP0006,"Ross, Robinson and Bright",2025-04-24,2025-03-08,2025-04-24,0,98,Finishing
SUP0006,"Ross, Robinson and Bright",2024-11-24,2024-09-30,2024-11-24,0,81,Finishing
SUP0006,"Ross, Robinson and Bright",2026-02-16,2026-01-14,2026-02-16,0,94,Finishing
SUP0006,"Ross, Robinson and Bright",2026-03-19,2026-02-14,2026-03-25,6,94,Finishing
SUP0006,"Ross, Robinson and Bright",2024-12-23,2024-11-23,2025-01-06,14,86,Finishing
SUP0006,"Ross, Robinson and Bright",2025-11-20,2025-09-23,2025-11-20,0,85,Finishing
SUP0006,"Ross, Robinson and Bright",2025-06-28,2025-05-27,2025-06-28,0,88,Finishing
SUP0006,"Ross, Robinson and Bright",2026-01-10,2025-11-30,2026-01-10,0,100,Finishing
SUP0006,"Ross, Robinson and Bright",2025-10-17,2025-09-16,2025-10-17,0,89,Finishing
SUP0006,"Ross, Robinson and Bright",2025-08-08,2025-06-26,2025-08-08,0,83,Finishing
SUP0006,"Ross, Robinson and Bright",2026-04-03,2026-02-26,2026-04-03,0,84,Finishing
SUP0006,"Ross, Robinson and Bright",2025-08-16,2025-07-01,2025-08-16,0,80,Finishing
SUP0006,"Ross, Robinson and Bright",2026-03-27,2026-02-03,2026-03-27,0,83,Finishing
SUP0006,"Ross, Robinson and Bright",2025-01-27,2024-12-06,2025-01-27,0,82,Finishing
SUP0006,"Ross, Robinson and Bright",2025-08-13,2025-07-02,2025-08-13,0,83,Finishing
SUP0006,"Ross, Robinson and Bright",2025-12-20,2025-11-10,2025-12-20,0,89,Finishing
SUP0006,"Ross, Robinson and Bright",2025-11-15,2025-10-04,2025-12-10,25,84,Finishing
SUP0006,"Ross, Robinson and Bright",2025-11-09,2025-10-08,2025-11-09,0,80,Finishing
SUP0006,"Ross, Robinson and Bright",2025-10-18,2025-09-04,2025-10-18,0,86,Finishing
SUP0006,"Ross, Robinson and Bright",2025-10-31,2025-09-02,2025-10-31,0,94,Finishing
SUP0006,"Ross, Robinson and Bright",2025-08-25,2025-07-24,2025-08-30,5,83,Finishing
SUP0006,"Ross, Robinson and Bright",2025-03-07,2025-01-25,2025-03-18,11,84,Finishing
SUP0006,"Ross, Robinson and Bright",2025-07-25,2025-06-17,2025-07-25,0,87,Finishing
SUP0006,"Ross, Robinson and Bright",2025-06-17,2025-04-24,2025-06-18,1,89,Finishing
SUP0006,"Ross, Robinson and Bright",2025-09-06,2025-07-22,2025-09-06,0,86,Finishing
SUP0006,"Ross, Robinson and Bright",2025-02-27,2025-01-19,2025-02-27,0,87,Finishing
SUP0006,"Ross, Robinson and Bright",2024-11-14,2024-10-03,2024-11-14,0,95,Finishing
SUP0006,"Ross, Robinson and Bright",2026-01-22,2025-12-07,2026-01-23,1,91,Finishing
SUP0006,"Ross, Robinson and Bright",2025-05-15,2025-04-11,2025-05-15,0,98,Finishing
SUP0006,"Ross, Robinson and Bright",2025-01-29,2024-12-19,2025-01-29,0,85,Finishing
SUP0006,"Ross, Robinson and Bright",2024-12-08,2024-10-09,2024-12-11,3,80,Finishing
SUP0007,"Le, Maldonado and Herrera",2026-01-25,2025-12-26,2026-01-25,0,81,Cutting
SUP0007,"Le, Maldonado and Herrera",2026-02-02,2025-12-04,2026-02-19,17,89,Cutting
SUP0007,"Le, Maldonado and Herrera",2024-11-07,2024-09-14,2024-11-07,0,92,Cutting
SUP0007,"Le, Maldonado and Herrera",2026-01-10,2025-11-21,2026-01-10,0,99,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-10-30,2025-09-22,2025-10-30,0,82,Cutting
SUP0007,"Le, Maldonado and Herrera",2024-10-28,2024-08-30,2024-10-28,0,84,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-05-05,2025-03-24,2025-05-05,0,100,Cutting
SUP0007,"Le, Maldonado and Herrera",2026-01-27,2025-12-19,2026-01-27,0,87,Cutting
SUP0007,"Le, Maldonado and Herrera",2026-02-04,2025-12-29,2026-02-04,0,93,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-12-07,2025-10-24,2025-12-07,0,81,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-05-23,2025-04-02,2025-05-23,0,85,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-12-03,2025-11-03,2025-12-03,0,80,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-10-19,2025-09-04,2025-11-05,17,96,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-07-13,2025-06-08,2025-07-13,0,88,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-12-05,2025-10-12,2025-12-16,11,93,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-06-30,2025-05-15,2025-06-30,0,98,Cutting
SUP0007,"Le, Maldonado and Herrera",2026-01-16,2025-12-02,2026-01-16,0,91,Cutting
SUP0007,"Le, Maldonado and Herrera",2026-02-07,2025-12-24,2026-02-13,6,91,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-10-25,2025-09-17,2025-11-23,29,98,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-12-07,2025-10-31,2025-12-07,0,80,Cutting
SUP0007,"Le, Maldonado and Herrera",2026-02-18,2025-12-23,2026-02-26,8,81,Cutting
SUP0007,"Le, Maldonado and Herrera",2024-12-07,2024-10-27,2024-12-07,0,84,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-10-03,2025-08-05,2025-10-05,2,97,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-01-30,2024-12-24,2025-01-30,0,93,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-05-12,2025-04-04,2025-05-31,19,91,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-12-03,2025-10-18,2025-12-03,0,81,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-10-03,2025-08-27,2025-10-05,2,92,Cutting
SUP0007,"Le, Maldonado and Herrera",2026-01-24,2025-11-27,2026-01-24,0,89,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-05-21,2025-04-11,2025-05-21,0,94,Cutting
SUP0007,"Le, Maldonado and Herrera",2026-03-27,2026-02-14,2026-03-27,0,98,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-05-28,2025-04-05,2025-05-28,0,94,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-03-23,2025-02-03,2025-04-17,25,86,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-07-27,2025-06-23,2025-07-27,0,93,Cutting
SUP0007,"Le, Maldonado and Herrera",2026-03-11,2026-02-02,2026-03-11,0,100,Cutting
SUP0007,"Le, Maldonado and Herrera",2026-03-26,2026-01-25,2026-03-26,0,92,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-05-25,2025-04-22,2025-05-25,0,87,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-01-30,2024-12-16,2025-02-04,5,88,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-12-30,2025-11-29,2026-01-28,29,96,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-02-06,2024-12-16,2025-02-21,15,82,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-12-28,2025-11-12,2025-12-28,0,92,Cutting
SUP0007,"Le, Maldonado and Herrera",2026-01-18,2025-12-01,2026-01-18,0,93,Cutting
SUP0007,"Le, Maldonado and Herrera",2025-11-22,2025-10-16,2025-11-22,0,90,Cutting
SUP0008,"Ashley, Nielsen and Sellers",2025-05-05,2025-03-26,2025-05-05,0,87,Sewing
SUP0008,"Ashley, Nielsen and Sellers",2026-01-18,2025-11-19,2026-01-18,0,98,Sewing
SUP0008,"Ashley, Nielsen and Sellers",2025-12-14,2025-11-10,2025-12-14,0,94,Sewing
SUP0008,"Ashley, Nielsen and Sellers",2024-12-13,2024-11-03,2024-12-13,0,97,Sewing
SUP0008,"Ashley, Nielsen and Sellers",2025-04-03,2025-02-02,2025-04-18,15,89,Sewing
SUP0008,"Ashley, Nielsen and Sellers",2024-12-16,2024-11-08,2024-12-19,3,85,Sewing
SUP0008,"Ashley, Nielsen and Sellers",2025-05-28,2025-04-02,2025-05-28,0,99,Sewing
SUP0008,"Ashley, Nielsen and Sellers",2026-02-22,2026-01-17,2026-03-05,11,84,Sewing
SUP0008,"Ashley, Nielsen and Sellers",2026-01-01,2025-11-10,2026-01-01,0,91,Sewing
SUP0008,"Ashley, Nielsen and Sellers",2025-02-23,2025-01-08,2025-02-23,0,89,Sewing
SUP0008,"Ashley, Nielsen and Sellers",2025-07-12,2025-05-17,2025-07-13,1,92,Sewing
SUP0008,"Ashley, Nielsen and Sellers",2024-12-27,2024-11-10,2024-12-27,0,87,Sewing
SUP0008,"Ashley, Nielsen and Sellers",2025-12-29,2025-11-15,2025-12-29,0,84,Sewing
SUP0008,"Ashley, Nielsen and Sellers",2025-12-01,2025-11-01,2025-12-01,0,87,Sewing
SUP0008,"Ashley, Nielsen and Sellers",2025-11-22,2025-10-17,2025-12-04,12,100,Sewing
SUP0008,"Ashley, Nielsen and Sellers",2026-01-08,2025-11-21,2026-01-08,0,82,Sewing
SUP0008,"Ashley, Nielsen and Sellers",2026-03-13,2026-02-09,2026-03-13,0,100,Sewing
SUP0008,"Ashley, Nielsen and Sellers",2025-01-05,2024-11-11,2025-01-05,0,90,Sewing
SUP0008,"Ashley, Nielsen and Sellers",2025-11-30,2025-10-30,2025-12-02,2,85,Sewing
SUP0008,"Ashley, Nielsen and Sellers",2025-01-16,2024-11-21,2025-01-16,0,95,Sewing
SUP0008,"Ashley, Nielsen and Sellers",2026-03-05,2026-01-22,2026-03-05,0,85,Sewing
SUP0008,"Ashley, Nielsen and Sellers",2025-04-07,2025-03-02,2025-04-16,9,88,Sewing
SUP0008,"Ashley, Nielsen and Sellers",2025-01-03,2024-11-06,2025-01-03,0,99,Sewing
SUP0008,"Ashley, Nielsen and Sellers",2025-07-27,2025-06-07,2025-07-27,0,93,Sewing
