po_number,supplier_id,supplier_name,material_category,po_date,expected_delivery,item_code,quantity,status,goods_receipt_date
PO00055,SUP0020,"Rodriguez, Brennan and Garrison",Weaving,2025-11-05,2026-05-19,ITEM9022,1317,on_track,
PO00056,SUP0048,Garcia-Lozano,Cutting,2025-12-11,2026-05-13,ITEM8935,2927,on_track,
PO00057,SUP0166,"Velasquez, Stark and Brown",Raw Materials,2026-01-09,2026-05-15,ITEM9903,3190,on_track,
PO00058,SUP0196,York Inc,Finishing,2025-12-09,2026-04-16,ITEM4912,4784,amber,
PO00059,SUP0066,Peterson-Wood,Weaving,2025-12-27,2026-04-04,ITEM7730,457,red,
PO00060,SUP0165,White-Flores,Cutting,2026-01-13,2026-05-05,ITEM7246,3262,on_track,
PO00061,SUP0106,Smith PLC,Raw Materials,2025-10-17,2026-05-28,ITEM3492,4157,on_track,
PO00062,SUP0145,Noble and Sons,Cutting,2026-03-26,2026-03-22,ITEM9229,4934,red,
PO00063,SUP0118,Arnold LLC,Finishing,2026-01-10,2026-03-18,ITEM8213,916,red,
PO00064,SUP0025,Ross-Hernandez,Sewing,2025-11-21,2026-05-03,ITEM1251,1280,on_track,
PO00065,SUP0071,"Wolf, Cole and Glass",Finishing,2025-12-21,2026-05-28,ITEM3529,712,on_track,
PO00066,SUP0012,Ramirez and Sons,Raw Materials,2025-12-05,2026-04-08,ITEM7512,757,amber,
PO00067,SUP0160,Herrera and Sons,Sewing,2026-01-10,2026-05-31,ITEM9742,3213,on_track,
PO00068,SUP0028,Stein-Silva,Sewing,2026-01-13,2026-05-25,ITEM8994,4532,on_track,
PO00069,SUP0120,Oconnor LLC,Cutting,2026-03-26,2026-05-24,ITEM2121,2023,on_track,
PO00070,SUP0040,Norris-Harrison,Finishing,2025-10-25,2026-06-01,ITEM5708,1963,on_track,
PO00071,SUP0169,"Yu, Banks and Thompson",Sewing,2026-03-12,2026-04-30,ITEM2612,923,on_track,
PO00072,SUP0029,Price Ltd,Finishing,2025-12-12,2026-03-27,ITEM5906,337,red,
PO00073,SUP0065,White Ltd,Weaving,2026-03-24,2026-04-16,ITEM5806,3036,amber,
PO00074,SUP0162,Watson-Mccoy,Sewing,2025-12-30,2026-04-30,ITEM3385,2100,on_track,
PO00075,SUP0153,Smith and Sons,Cutting,2025-11-20,2026-04-27,ITEM3950,1492,on_track,
PO00076,SUP0197,Banks-Robles,Finishing,2026-02-19,2026-03-16,ITEM7267,2072,red,
PO00077,SUP0001,"Rodriguez, Figueroa and Sanchez",Raw Materials,2025-11-28,2026-05-19,ITEM3344,2002,on_track,
PO00078,SUP0062,"Wilson, Pena and Rich",Sewing,2025-12-07,2026-05-26,ITEM5161,3864,on_track,
PO00079,SUP0107,Doyle LLC,Sewing,2026-01-29,2026-05-30,ITEM1153,3911,on_track,
PO00080,SUP0136,"Stokes, Brown and Garcia",Weaving,2026-01-21,2026-05-31,ITEM9955,1394,on_track,
PO00081,SUP0065,White Ltd,Weaving,2026-03-17,2026-05-01,ITEM6661,4913,on_track,
PO00082,SUP0073,Shepherd LLC,Finishing,2026-01-18,2026-05-26,ITEM7951,2148,on_track,
PO00083,SUP0057,Gilbert-Crosby,Sewing,2025-12-09,2026-04-13,ITEM7302,4058,amber,
PO00084,SUP0127,"Peters, Russell and Johnson",Finishing,2026-03-08,2026-04-05,ITEM6881,4808,amber,
PO00085,SUP0154,Dixon-Brown,Sewing,2026-01-19,2026-06-03,ITEM5837,279,on_track,
PO00086,SUP0130,Bennett-Velasquez,Finishing,2025-10-18,2026-04-25,ITEM1132,4736,on_track,
PO00087,SUP0101,"Harris, Shaw and Carr",Raw Materials,2025-10-11,2026-03-12,ITEM9138,2444,red,
PO00088,SUP0185,"Rodriguez, Brown and Mcneil",Raw Materials,2026-02-05,2026-05-22,ITEM6772,1894,on_track,
PO00089,SUP0129,Smith-Foster,Sewing,2025-10-24,2026-03-30,ITEM5106,1220,red,
PO00090,SUP0105,Delgado-Gilmore,Weaving,2025-10-26,2026-03-18,ITEM1645,2630,red,
PO00091,SUP0184,Franklin-Hahn,Finishing,2025-12-13,2026-03-10,ITEM6977,1176,red,
PO00092,SUP0155,Mora-White,Finishing,2026-03-12,2026-04-12,ITEM7807,1538,amber,
PO00093,SUP0167,Weaver-Thompson,Raw Materials,2026-02-12,2026-03-22,ITEM9837,3097,red,
PO00094,SUP0058,"Lewis, Fowler and Maddox",Raw Materials,2025-11-20,2026-05-09,ITEM5465,1447,on_track,
PO00095,SUP0013,Barrera-Martin,Finishing,2026-01-29,2026-05-06,ITEM5835,2874,on_track,
PO00096,SUP0025,Ross-Hernandez,Sewing,2026-03-06,2026-05-04,ITEM2233,1253,on_track,
PO00097,SUP0162,Watson-Mccoy,Sewing,2026-02-06,2026-05-31,ITEM7511,4665,on_track,
PO00098,SUP0133,Myers-Barton,Sewing,2026-01-01,2026-03-17,ITEM7464,214,red,
PO00099,SUP0147,Perez Inc,Raw Materials,2026-01-27,2026-05-13,ITEM3024,3825,on_track,
PO00100,SUP0128,Adams-Thomas,Sewing,2025-12-31,2026-05-31,ITEM5295,4888,on_track,
PO00101,SUP0081,Young-Martinez,Raw Materials,2025-12-28,2026-05-26,ITEM7086,987,on_track,
PO00102,SUP0076,Phillips Inc,Weaving,2025-10-14,2026-04-04,ITEM8724,305,red,
PO00103,SUP0041,Martin LLC,Raw Materials,2025-10-28,2026-05-16,ITEM6374,1913,on_track,
PO00104,SUP0083,Kramer-Cooper,Cutting,2025-10-21,2026-03-14,ITEM8606,2575,red,
PO00105,SUP0014,"Woods, Calhoun and Schmidt",Raw Materials,2025-10-20,2026-04-27,ITEM2911,1245,on_track,
PO00106,SUP0049,"Higgins, Malone and Brennan",Raw Materials,2026-03-24,2026-03-10,ITEM5986,4135,red,
PO00107,SUP0011,Aguirre-Lee,Raw Materials,2026-03-06,2026-03-18,ITEM4846,4503,red,
PO00108,SUP0070,"Morgan, Cook and Jackson",Weaving,2026-03-01,2026-04-24,ITEM7078,4525,on_track,
PO00109,SUP0024,"Beck, Harvey and Davis",Finishing,2025-12-18,2026-05-20,ITEM3531,3498,on_track,
PO00110,SUP0052,James LLC,Raw Materials,2025-10-19,2026-03-18,ITEM9017,3443,red,
PO00111,SUP0086,Miller Ltd,Finishing,2026-01-23,2026-03-10,ITEM7070,1879,red,
PO00112,SUP0088,Edwards-Ramirez,Cutting,2025-12-12,2026-05-01,ITEM4868,3071,on_track,
PO00113,SUP0039,Kerr-Evans,Weaving,2026-03-10,2026-06-01,ITEM7018,4560,on_track,
PO00114,SUP0071,"Wolf, Cole and Glass",Finishing,2025-10-21,2026-04-20,ITEM7523,2360,amber,
PO00115,SUP0041,Martin LLC,Raw Materials,2026-02-15,2026-03-21,ITEM8450,850,red,
PO00116,SUP0006,"Ross, Robinson and Bright",Finishing,2025-10-17,2026-04-02,ITEM1349,514,red,
PO00117,SUP0132,Sandoval LLC,Weaving,2026-01-09,2026-04-06,ITEM4362,662,amber,
PO00118,SUP0013,Barrera-Martin,Finishing,2025-11-14,2026-04-01,ITEM4538,2008,red,
PO00119,SUP0129,Smith-Foster,Sewing,2026-01-10,2026-03-24,ITEM1046,2371,red,
PO00120,SUP0041,Martin LLC,Raw Materials,2026-02-26,2026-03-22,ITEM9850,2153,red,
PO00121,SUP0199,"Barber, Olson and Alvarado",Weaving,2026-02-19,2026-03-20,ITEM1422,1179,red,
PO00122,SUP0065,White Ltd,Weaving,2026-04-01,2026-04-20,ITEM6304,229,amber,
PO00123,SUP0151,Livingston Group,Finishing,2026-02-19,2026-04-08,ITEM3076,3548,amber,
PO00124,SUP0018,Jones Ltd,Cutting,2025-11-21,2026-03-20,ITEM2041,4001,red,
PO00125,SUP0164,Andrade-Mendoza,Sewing,2025-12-11,2026-04-21,ITEM2786,3802,on_track,
PO00126,SUP0037,Phillips LLC,Weaving,2025-11-27,2026-04-03,ITEM1710,4371,red,
PO00127,SUP0089,Roach Group,Finishing,2026-01-17,2026-05-03,ITEM1510,598,on_track,
PO00128,SUP0082,Smith-Gomez,Raw Materials,2025-12-03,2026-04-26,ITEM7984,984,on_track,
PO00129,SUP0079,Velasquez LLC,Cutting,2025-11-30,2026-05-01,ITEM2204,761,on_track,
PO00130,SUP0006,"Ross, Robinson and Bright",Finishing,2026-01-12,2026-05-22,ITEM3430,638,on_track,
PO00131,SUP0032,David-Gonzalez,Finishing,2026-03-03,2026-04-10,ITEM9984,2763,on_track,
PO00132,SUP0165,White-Flores,Cutting,2025-12-28,2026-05-21,ITEM9692,2515,on_track,
PO00133,SUP0200,Cordova-Williams,Weaving,2025-12-09,2026-05-09,ITEM8048,912,on_track,
PO00134,SUP0009,"Alvarez, Pierce and Baker",Cutting,2025-10-07,2026-03-20,ITEM4522,3623,red,
PO00135,SUP0011,Aguirre-Lee,Raw Materials,2025-12-10,2026-04-04,ITEM7779,2876,red,
PO00136,SUP0172,Lynn-Jones,Finishing,2025-12-09,2026-04-26,ITEM7815,878,on_track,
PO00137,SUP0022,Williams-Graham,Raw Materials,2026-01-14,2026-04-29,ITEM6120,2188,on_track,
PO00138,SUP0199,"Barber, Olson and Alvarado",Weaving,2025-12-30,2026-03-25,ITEM8770,649,red,
PO00139,SUP0088,Edwards-Ramirez,Cutting,2026-03-12,2026-03-16,ITEM2527,3637,red,
PO00140,SUP0160,Herrera and Sons,Sewing,2026-03-11,2026-04-22,ITEM1982,4904,amber,
PO00141,SUP0096,Johnson-Landry,Raw Materials,2025-11-12,2026-05-16,ITEM6400,1101,on_track,
PO00142,SUP0111,"Roman, Cummings and Foster",Cutting,2025-12-20,2026-04-20,ITEM7929,521,on_track,
PO00143,SUP0086,Miller Ltd,Finishing,2026-01-21,2026-05-21,ITEM6119,2980,on_track,
PO00144,SUP0042,Hayden PLC,Cutting,2026-03-09,2026-05-18,ITEM9313,1842,on_track,
PO00145,SUP0021,Wiley LLC,Finishing,2026-02-24,2026-05-29,ITEM8900,1937,on_track,
PO00146,SUP0103,Bailey-Peck,Weaving,2026-03-08,2026-04-19,ITEM7022,1041,on_track,
PO00147,SUP0091,Day-Cole,Cutting,2026-01-23,2026-05-18,ITEM4705,3615,on_track,
PO00148,SUP0096,Johnson-Landry,Raw Materials,2025-11-12,2026-05-24,ITEM1430,2290,on_track,
PO00149,SUP0017,Jacobs-Robbins,Cutting,2026-03-28,2026-03-29,ITEM5477,2631,red,
PO00150,SUP0090,Johnson-Spencer,Weaving,2026-01-08,2026-04-19,ITEM3972,1273,amber,
PO00151,SUP0101,"Harris, Shaw and Carr",Raw Materials,2025-11-11,2026-05-29,ITEM7566,670,on_track,
PO00152,SUP0089,Roach Group,Finishing,2026-02-27,2026-05-26,ITEM1502,851,on_track,
PO00153,SUP0038,Lopez-Williams,Cutting,2025-11-20,2026-04-02,ITEM7163,3539,red,
PO00154,SUP0046,Weeks PLC,Finishing,2025-12-09,2026-04-18,ITEM7062,2652,amber,
PO00155,SUP0014,"Woods, Calhoun and Schmidt",Raw Materials,2026-01-11,2026-05-17,ITEM2391,530,on_track,
PO00156,SUP0136,"Stokes, Brown and Garcia",Weaving,2026-02-24,2026-03-26,ITEM1815,768,red,
PO00157,SUP0167,Weaver-Thompson,Raw Materials,2026-01-25,2026-05-01,ITEM7947,4078,on_track,
PO00158,SUP0059,Garrison-Thomas,Raw Materials,2025-10-31,2026-05-01,ITEM7785,2337,on_track,
PO00159,SUP0157,"Bonilla, Cuevas and Parsons",Sewing,2026-02-08,2026-05-10,ITEM2864,2927,on_track,
PO00160,SUP0166,"Velasquez, Stark and Brown",Raw Materials,2025-12-15,2026-03-20,ITEM5640,4958,red,
PO00161,SUP0050,Jordan-Sanchez,Raw Materials,2025-12-01,2026-05-12,ITEM6053,472,on_track,
PO00162,SUP0101,"Harris, Shaw and Carr",Raw Materials,2026-02-07,2026-04-25,ITEM1897,162,on_track,
PO00163,SUP0046,Weeks PLC,Finishing,2026-02-11,2026-04-13,ITEM3248,2193,amber,
PO00164,SUP0052,James LLC,Raw Materials,2026-01-20,2026-04-16,ITEM1126,4174,amber,
PO00165,SUP0127,"Peters, Russell and Johnson",Finishing,2025-12-15,2026-03-28,ITEM3116,3214,red,
PO00166,SUP0072,Hayes-Brown,Raw Materials,2025-11-19,2026-06-04,ITEM4770,4198,on_track,
PO00167,SUP0179,Reyes-Washington,Raw Materials,2025-11-12,2026-05-30,ITEM6802,690,on_track,
PO00168,SUP0123,Gray-Tran,Finishing,2025-12-24,2026-03-11,ITEM8147,253,red,
PO00169,SUP0126,Marquez Inc,Raw Materials,2025-12-08,2026-03-15,ITEM6129,4816,red,
PO00170,SUP0117,Adams Ltd,Cutting,2025-12-16,2026-05-18,ITEM7626,3521,on_track,
PO00171,SUP0192,Richardson Ltd,Finishing,2026-01-20,2026-03-20,ITEM7636,270,red,
PO00172,SUP0158,Vasquez-Brown,Finishing,2026-01-11,2026-03-27,ITEM8538,3064,red,
PO00173,SUP0166,"Velasquez, Stark and Brown",Raw Materials,2026-03-13,2026-04-30,ITEM2734,2093,on_track,
PO00174,SUP0041,Martin LLC,Raw Materials,2025-12-14,2026-05-20,ITEM7560,4392,on_track,
PO00175,SUP0096,Johnson-Landry,Raw Materials,2026-03-15,2026-04-25,ITEM6562,1915,on_track,
PO00176,SUP0135,Hall-Sullivan,Weaving,2026-01-09,2026-03-27,ITEM2251,4281,red,
PO00177,SUP0077,Rhodes-Young,Raw Materials,2025-10-24,2026-03-20,ITEM9693,4277,red,
PO00178,SUP0170,Taylor-Mcgee,Weaving,2026-02-14,2026-04-19,ITEM3419,2035,on_track,
PO00179,SUP0073,Shepherd LLC,Finishing,2026-03-09,2026-03-24,ITEM5193,1716,red,
PO00180,SUP0052,James LLC,Raw Materials,2026-02-19,2026-05-22,ITEM3504,717,on_track,
PO00181,SUP0177,Thompson-Joyce,Raw Materials,2026-02-18,2026-05-25,ITEM9095,3900,on_track,
PO00182,SUP0067,Nelson-Fischer,Sewing,2025-11-11,2026-05-19,ITEM8354,4724,on_track,
PO00183,SUP0109,"Walker, Bernard and Mendoza",Weaving,2025-10-22,2026-05-26,ITEM6295,2689,on_track,
PO00184,SUP0008,"Ashley, Nielsen and Sellers",Sewing,2026-02-25,2026-05-01,ITEM2118,3941,on_track,
PO00185,SUP0089,Roach Group,Finishing,2025-12-12,2026-05-25,ITEM5961,2350,on_track,
PO00186,SUP0046,Weeks PLC,Finishing,2025-11-04,2026-03-13,ITEM6766,4256,red,
PO00187,SUP0124,"Elliott, Johnson and Mcfarland",Sewing,2026-03-17,2026-04-14,ITEM8404,408,amber,
PO00188,SUP0173,Garcia and Sons,Sewing,2026-03-21,2026-04-22,ITEM2257,839,on_track,
PO00189,SUP0161,Palmer-Byrd,Raw Materials,2025-10-29,2026-05-21,ITEM9307,3249,on_track,
PO00190,SUP0131,"Porter, Schultz and Allen",Raw Materials,2025-12-07,2026-05-19,ITEM1672,3784,on_track,
PO00191,SUP0057,Gilbert-Crosby,Sewing,2025-11-09,2026-05-28,ITEM4084,2733,on_track,
PO00192,SUP0092,Gonzalez-Huber,Raw Materials,2025-11-01,2026-05-05,ITEM9214,1335,on_track,
PO00193,SUP0060,West-Cox,Raw Materials,2026-03-20,2026-05-02,ITEM2695,2913,on_track,
PO00194,SUP0061,"Browning, Jones and Miller",Sewing,2026-03-14,2026-05-09,ITEM3827,420,on_track,
PO00195,SUP0121,"Hernandez, Robinson and Bryant",Raw Materials,2026-01-31,2026-06-04,ITEM8172,3699,on_track,
PO00196,SUP0015,Sandoval-Cunningham,Cutting,2025-11-21,2026-05-11,ITEM3600,3081,on_track,
PO00197,SUP0079,Velasquez LLC,Cutting,2025-12-30,2026-04-11,ITEM7697,2871,amber,
PO00198,SUP0030,Murphy-Gibson,Raw Materials,2025-10-13,2026-05-21,ITEM1857,2841,on_track,
PO00199,SUP0049,"Higgins, Malone and Brennan",Raw Materials,2026-03-19,2026-04-17,ITEM7333,2427,amber,
PO00200,SUP0198,"Hobbs, Acosta and Snow",Cutting,2026-01-30,2026-05-29,ITEM3463,2830,on_track,
PO00201,SUP0198,"Hobbs, Acosta and Snow",Cutting,2026-03-15,2026-05-19,ITEM3317,2965,on_track,
PO00202,SUP0074,"Holland, Jones and Davis",Raw Materials,2026-01-15,2026-05-28,ITEM7421,1156,on_track,
PO00203,SUP0066,Peterson-Wood,Weaving,2025-11-03,2026-06-04,ITEM2388,2636,on_track,
PO00204,SUP0022,Williams-Graham,Raw Materials,2025-11-12,2026-04-23,ITEM6381,1146,on_track,
PO00205,SUP0118,Arnold LLC,Finishing,2025-10-15,2026-06-03,ITEM9624,865,on_track,
PO00206,SUP0020,"Rodriguez, Brennan and Garrison",Weaving,2025-10-21,2026-05-30,ITEM7937,4265,on_track,
PO00207,SUP0059,Garrison-Thomas,Raw Materials,2026-01-02,2026-03-08,ITEM6940,2630,red,
PO00208,SUP0181,Figueroa-Malone,Sewing,2026-02-17,2026-04-02,ITEM6598,4083,red,
PO00209,SUP0090,Johnson-Spencer,Weaving,2026-02-14,2026-04-03,ITEM3253,1369,red,
PO00210,SUP0022,Williams-Graham,Raw Materials,2026-03-16,2026-04-12,ITEM9317,4521,amber,
PO00211,SUP0162,Watson-Mccoy,Sewing,2025-11-21,2026-03-10,ITEM6517,1173,red,
PO00212,SUP0067,Nelson-Fischer,Sewing,2025-11-03,2026-04-23,ITEM3658,1581,amber,
PO00213,SUP0022,Williams-Graham,Raw Materials,2025-10-09,2026-05-24,ITEM3712,3685,on_track,
PO00214,SUP0070,"Morgan, Cook and Jackson",Weaving,2026-03-24,2026-04-27,ITEM6968,2045,on_track,
PO00215,SUP0127,"Peters, Russell and Johnson",Finishing,2025-12-12,2026-05-23,ITEM5668,3777,on_track,
PO00216,SUP0099,Long PLC,Raw Materials,2026-02-04,2026-05-13,ITEM4918,2635,on_track,
PO00217,SUP0165,White-Flores,Cutting,2025-12-05,2026-03-30,ITEM7026,4772,red,
PO00218,SUP0050,Jordan-Sanchez,Raw Materials,2025-12-13,2026-05-04,ITEM5616,3228,on_track,
PO00219,SUP0164,Andrade-Mendoza,Sewing,2025-11-27,2026-05-12,ITEM7859,1427,on_track,
PO00220,SUP0145,Noble and Sons,Cutting,2026-02-12,2026-05-22,ITEM3267,2148,on_track,
PO00221,SUP0040,Norris-Harrison,Finishing,2026-03-22,2026-05-27,ITEM8873,3140,on_track,
PO00222,SUP0125,Kim Inc,Finishing,2025-11-14,2026-03-19,ITEM9452,1121,red,
PO00223,SUP0069,"Sullivan, Bowman and Roberts",Finishing,2026-01-22,2026-03-16,ITEM3626,2334,red,
PO00224,SUP0033,Hamilton LLC,Raw Materials,2025-12-10,2026-05-10,ITEM3414,3683,on_track,
PO00225,SUP0105,Delgado-Gilmore,Weaving,2026-03-12,2026-04-03,ITEM8391,2963,red,
PO00226,SUP0041,Martin LLC,Raw Materials,2026-03-29,2026-04-28,ITEM1872,3347,on_track,
PO00227,SUP0133,Myers-Barton,Sewing,2025-11-27,2026-04-22,ITEM7326,768,amber,
PO00228,SUP0031,"Hernandez, Martinez and Caldwell",Sewing,2025-12-30,2026-04-03,ITEM1461,2710,red,
PO00229,SUP0022,Williams-Graham,Raw Materials,2026-03-10,2026-05-28,ITEM6493,1296,on_track,
PO00230,SUP0031,"Hernandez, Martinez and Caldwell",Sewing,2026-02-28,2026-03-10,ITEM5700,3970,red,
PO00231,SUP0008,"Ashley, Nielsen and Sellers",Sewing,2025-10-08,2026-03-23,ITEM8685,3774,red,
PO00232,SUP0027,Orozco-Miller,Cutting,2025-10-29,2026-03-06,ITEM2298,255,red,
PO00233,SUP0188,"Wilson, Becker and Moreno",Weaving,2026-01-29,2026-04-02,ITEM3449,4595,red,
PO00234,SUP0035,Allen Group,Raw Materials,2025-10-31,2026-05-12,ITEM7934,1010,on_track,
PO00235,SUP0183,Johnson-Williams,Finishing,2026-01-21,2026-04-05,ITEM2996,491,amber,
PO00236,SUP0010,"Spencer, Chapman and Smith",Cutting,2026-02-02,2026-04-28,ITEM8489,614,on_track,
PO00237,SUP0051,Little-Stevens,Weaving,2026-03-07,2026-05-08,ITEM9782,234,on_track,
PO00238,SUP0077,Rhodes-Young,Raw Materials,2025-10-25,2026-05-10,ITEM4963,1276,on_track,
PO00239,SUP0166,"Velasquez, Stark and Brown",Raw Materials,2026-01-20,2026-04-29,ITEM1025,2990,on_track,
PO00240,SUP0192,Richardson Ltd,Finishing,2026-02-02,2026-05-18,ITEM7825,1634,on_track,
PO00241,SUP0157,"Bonilla, Cuevas and Parsons",Sewing,2025-10-16,2026-05-30,ITEM2402,4388,on_track,
PO00242,SUP0057,Gilbert-Crosby,Sewing,2026-01-02,2026-03-14,ITEM9618,4557,red,
PO00243,SUP0028,Stein-Silva,Sewing,2025-11-26,2026-05-09,ITEM1333,3298,on_track,
PO00244,SUP0055,Richardson-Curry,Finishing,2025-12-05,2026-03-11,ITEM7338,3158,red,
PO00245,SUP0093,Miller Ltd,Cutting,2026-01-30,2026-03-08,ITEM6850,653,red,
PO00246,SUP0042,Hayden PLC,Cutting,2026-01-06,2026-04-05,ITEM2698,4866,on_track,
PO00247,SUP0087,Thomas PLC,Cutting,2026-01-09,2026-03-23,ITEM1726,2986,red,
PO00248,SUP0019,"Garcia, Deleon and Henson",Raw Materials,2025-11-16,2026-04-18,ITEM3868,3906,on_track,
PO00249,SUP0171,"Smith, Cruz and Oconnor",Raw Materials,2025-10-08,2026-05-06,ITEM3986,1204,on_track,
PO00250,SUP0158,Vasquez-Brown,Finishing,2026-03-19,2026-05-03,ITEM1605,2503,on_track,
PO00251,SUP0084,"Parsons, Ellis and Carter",Weaving,2026-02-12,2026-03-11,ITEM4268,443,red,
